date,id,kind,entry_number,name,country,biko,image_url,rank,point
2020-09-03,00000491,LOCAL,1,KAZUMOちゃん,北海道,ＮＰＯ法人留萌観光協会,https://www.yurugp.jp/img/uploads/character/200/00000491.jpg,149,1031
2020-09-03,00000542,LOCAL,2,えちゴン,新潟県,一般社団法人柏崎青年会議所,https://www.yurugp.jp/img/uploads/character/200/00000542.jpg,8,54936
2020-09-03,00003622,COMPANY,3,ニイツン,東京都,Niitsuplus(ニイツプラス),https://www.yurugp.jp/img/uploads/character/200/00003622.jpg,199,427
2020-09-03,00001073,LOCAL,4,はむりん,東京都,東京都羽村市,https://www.yurugp.jp/img/uploads/character/200/00001073.jpg,34,7586
2020-09-03,00003716,COMPANY,5,ぎんがくん・きらりちゃん,岩手県,ＩＧＲいわて銀河鉄道株式会社,https://www.yurugp.jp/img/uploads/character/200/00003716.jpg,76,3344
2020-09-03,00002830,LOCAL,6,ちゃちゃまる,岐阜県,岐阜県池田町,https://www.yurugp.jp/img/uploads/character/200/00002830.jpg,14,39382
2020-09-03,00004010,COMPANY,7,三太,富山県,ライブリード株式会社,https://www.yurugp.jp/img/uploads/character/200/00004010.jpg,74,3365
2020-09-03,00003217,COMPANY,8,シープリン,東京都,公益社団法人　日本臨床工学技士会,https://www.yurugp.jp/img/uploads/character/200/00003217.jpg,221,249
2020-09-03,00003179,LOCAL,9,ながれ〜,千葉県,恋するＮagareyama,https://www.yurugp.jp/img/uploads/character/200/00003179.jpg,251,414
2020-09-03,00004028,LOCAL,10,みどモス,群馬県,群馬県みどり市,https://www.yurugp.jp/img/uploads/character/200/00004028.jpg,10,48787
2020-09-03,00003995,LOCAL,11,かきつばたん,愛知県,刈谷市立刈谷特別支援学校,https://www.yurugp.jp/img/uploads/character/200/00003995.jpg,21,12337
2020-09-03,00000118,LOCAL,12,オケちゃん,埼玉県,(一社)桶川市観光協会,https://www.yurugp.jp/img/uploads/character/200/00000118.jpg,48,5145
2020-09-03,00003744,COMPANY,13,ＶＭＡＴ　ふじゅクン,大阪府,公益社団法人大阪府獣医師会,https://www.yurugp.jp/img/uploads/character/200/00003744.jpg,64,3877
2020-09-03,00003945,COMPANY,14,いっぷく先生,北海道,株式会社ナカジマ薬局,https://www.yurugp.jp/img/uploads/character/200/00003945.jpg,71,3467
2020-09-03,00004045,COMPANY,15,ミリーヌ,熊本県,ミリーヴグループ,https://www.yurugp.jp/img/uploads/character/200/00004045.jpg,46,7023
2020-09-03,00001024,LOCAL,16,きたひろ　まいピー,北海道,北広島商工会,https://www.yurugp.jp/img/uploads/character/200/00001024.jpg,217,564
2020-09-03,00003670,LOCAL,17,もり吉,大阪府,守口市,https://www.yurugp.jp/img/uploads/character/200/00003670.jpg,43,5966
2020-09-03,00004037,LOCAL,18,うけどん,福島県,浪江町,https://www.yurugp.jp/img/uploads/character/200/00004037.jpg,25,11099
2020-09-03,00003887,LOCAL,19,ちゅとら,愛知県,学校法人中部大学,https://www.yurugp.jp/img/uploads/character/200/00003887.jpg,68,3063
2020-09-03,00004116,COMPANY,20,ぎゅーとらココロっけ,三重県,株式会社ぎゅーとら,https://www.yurugp.jp/img/uploads/character/200/00004116.jpg,130,1305
2020-09-03,00000647,LOCAL,21,めい姫,三重県,明和町,https://www.yurugp.jp/img/uploads/character/200/00000647.jpg,22,12186
